CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,SICCode1,SICCode1Description,Latitude,Longitude
Magic Food Market,14741 W Chicago St,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.36545755,-83.18903366
Manistique Market,500 Manistique St,Detroit,MI,48215,541105,Grocers-Retail,541105,Grocers-Retail,42.3684544,-82.937079
Mannone's Market,2732 Chene St,Detroit,MI,48207,541105,Grocers-Retail,541105,Grocers-Retail,42.3518629,-83.0312956
Marcus Market,4614 2nd Ave,Detroit,MI,48201,541105,Grocers-Retail,541105,Grocers-Retail,42.3526981,-83.0673278
Marks Market,1941 Springwells St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail,42.3091415,-83.1259129
Masherah Fuel Mart,18151 W Chicago St,Detroit,MI,48228,554101,Service Stations-Gasoline & Oil,554101,Service Stations-Gasoline & Oil,42.36510468,-83.21718418
May's Market,13040 W Chicago St,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.36600078,-83.17210323
Mazen Foods,12740 Gratiot Ave,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.41974258,-82.98768542
Meijer,1301 W 8 Mile Rd,Detroit,MI,48203,541105,Grocers-Retail,541105,Grocers-Retail,42.42165862,-83.10229811
Meijer,21431 Grand River Ave,Detroit,MI,48219,541105,Grocers-Retail,541105,Grocers-Retail,42.41458509,-83.25306822
Metro Food Ctr,6461 W Warren Ave,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail,42.3442264,-83.1324211
Metro Food Land,18551 Grand River Ave,Detroit,MI,48223,541105,Grocers-Retail,541105,Grocers-Retail,42.40339722,-83.22523502
Michael's Short Stop,18850 W Mcnichols Rd,Detroit,MI,48219,541103,Convenience Stores,541103,Convenience Stores,42.4156358,-83.2265379
Michigan & Cabot Food Ctr,8723 Michigan Ave,Detroit,MI,48210,541104,Food Products-Retail,541104,Food Products-Retail,42.32971078,-83.14875353
Mike Fresh Market,19195 Livernois Ave,Detroit,MI,48221,541105,Grocers-Retail,541105,Grocers-Retail,42.43246495,-83.14162573
Mike's Fresh Market,14383 Gratiot Ave,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.4364371,-82.9775487
Mini Mart Specialty Meat,16435 W Mcnichols Rd,Detroit,MI,48235,541103,Convenience Stores,541103,Convenience Stores,42.4154655,-83.2098277
MLK Food Ctr Inc,3181 3rd St,Detroit,MI,48201,541104,Food Products-Retail,541104,Food Products-Retail,42.34259,-83.0646352
Motor City Liquor,2313 Gratiot Ave,Detroit,MI,48207,541105,Grocers-Retail,541105,Grocers-Retail,42.3525348,-83.0324713
Mr Grocer Super Store,11742 Conner St,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.4108311,-83.0046652
Mystik,9365 Van Dyke St,Detroit,MI,48213,554101,Service Stations-Gasoline & Oil,554101,Service Stations-Gasoline & Oil,42.3983294,-83.0232245
N & A Market,9500 Whittier St,Detroit,MI,48224,541105,Grocers-Retail,541105,Grocers-Retail,42.4137174,-82.94505551
Nabel Super Market,18712 W Warren Ave,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.3435609,-83.2235064
Narras Market,13547 E 7 Mile Rd,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.43499859,-82.98577368
Nevada Supermarket,2510 E Nevada St,Detroit,MI,48234,541105,Grocers-Retail,541105,Grocers-Retail,42.4255029,-83.0771547
New Center Super Market,8055 Woodward Ave,Detroit,MI,48202,541105,Grocers-Retail,541105,Grocers-Retail,42.3747609,-83.0768427
New Land Party Store,14601 Plymouth Rd,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.3726016,-83.1879342
New Merchant Food Ctr,2819 E 7 Mile Rd,Detroit,MI,48234,541105,Grocers-Retail,541105,Grocers-Retail,42.43300702,-83.07539893
New Quick Stop Market Inc,8059 Grand River Ave,Detroit,MI,48204,541105,Grocers-Retail,541105,Grocers-Retail,42.35963516,-83.11667177
New Redford Food Ctr,21673 Grand River Ave,Detroit,MI,48219,541105,Grocers-Retail,541105,Grocers-Retail,42.4157739,-83.25608203
Ninos Market,15901 E Warren Ave,Detroit,MI,48224,541105,Grocers-Retail,541105,Grocers-Retail,42.4012581,-82.9437161
Nour Grocery,16035 W Warren Ave,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.3433122,-83.2018604
Noyer Inc,11250 E Jefferson Ave,Detroit,MI,48214,541105,Grocers-Retail,541105,Grocers-Retail,42.36638839,-82.97166726
Pancho's Palace,6421 Regular St,Detroit,MI,48209,541103,Convenience Stores,541103,Convenience Stores,42.3113635,-83.1087888
Papaya,16322 W Warren Ave,Detroit,MI,48228,543101,Fruits & Vegetables & Produce-Retail,543101,Fruits & Vegetables & Produce-Retail,42.3438011,-83.2051821
Parker Street Market,1814 Parker St,Detroit,MI,48214,541105,Grocers-Retail,541105,Grocers-Retail,42.35769879,-82.99762152
Parkway Foods,11250 E Jefferson Ave,Detroit,MI,48214,581208,Restaurants,581208,Restaurants,42.36638839,-82.97166726
Paul's Place,210 Henry St,Detroit,MI,48201,541103,Convenience Stores,541103,Convenience Stores,42.33938349,-83.05669351
Pavilion,1 Lafayette Plaisance St,Detroit,MI,48207,651303,Apartments,651303,Apartments,42.33939093,-83.03825532
Payless Market,428 E Grand Blvd,Detroit,MI,48207,541105,Grocers-Retail,541105,Grocers-Retail,42.35564001,-83.00737892
Pelzer Party Shop,19900 Conant St,Detroit,MI,48234,541105,Grocers-Retail,541105,Grocers-Retail,42.4407216,-83.0789561
Piquette Market,1445 E Kirby St,Detroit,MI,48211,514704,Meat-Wholesale,514704,Meat-Wholesale,42.3656086,-83.0526533
Prince Valley Market,5931 Michigan Ave,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail,42.33105582,-83.11583336
Princess Superette Market,16342 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail,592102,Liquors-Retail,42.41586613,-83.20842356
Public Foods,16226 E Warren Ave,Detroit,MI,48224,541105,Grocers-Retail,541105,Grocers-Retail,42.4019334,-82.940218
Quick Pac,21320 W 7 Mile Rd,Detroit,MI,48219,541103,Convenience Stores,541103,Convenience Stores,42.42933862,-83.25249601
R & S Kizy,9252 Erwin St,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.3974187,-83.0172233
Rainbow Market,13510 E 8 Mile Rd,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.44916408,-82.98675553
Rna Auto Svc,20190 Van Dyke St,Detroit,MI,48234,753801,Automobile Repairing & Service,753801,Automobile Repairing & Service,42.4449428,-83.024215
Rocky Produce Inc 2,7201 W Fort St # 2,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail,42.30246596,-83.11311931
Roseberry Market,10022 Roseberry St,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.4075446,-82.98637151
Royal Fresh Market,18551 Grand River Ave,Detroit,MI,48223,541105,Grocers-Retail,541105,Grocers-Retail,42.40339722,-83.22523502
Royalty Foods,16086 E 8 Mile Rd,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.44997745,-82.9552366
S & G Liquor Shop,18207 Wyoming St,Detroit,MI,48221,541105,Grocers-Retail,541105,Grocers-Retail,42.42423139,-83.16081112
Saratoga Food Mart,14130 Gratiot Ave,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.4329746,-82.9786255
Saturn Super Foods,20221 Joy Rd,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.3571393,-83.2389418
Sav-Mart Food Ctr,7011 Gratiot Ave,Detroit,MI,48207,541105,Grocers-Retail,541105,Grocers-Retail,42.3716362,-83.01956712
Savaya Liquor,20441 James Couzens Fwy,Detroit,MI,48235,592102,Liquors-Retail,592102,Liquors-Retail,42.4424934,-83.2012879
Save Line Market,1549 E Nevada St,Detroit,MI,48203,541105,Grocers-Retail,541105,Grocers-Retail,42.42514762,-83.08805304
Save-A-Lot Food Stores,13750 Fenkell St,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.4024882,-83.1813531
Save-A-Lot Food Stores,15001 Houston Whittier St,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.42083709,-82.96752175
Save-A-Lot Food Stores,20427 Plymouth Rd,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.37178078,-83.24033112
Save-A-Lot Food Stores,20811 W 8 Mile Rd,Detroit,MI,48219,541105,Grocers-Retail,541105,Grocers-Retail,42.44339906,-83.24900884
Save-A-Lot Food Stores,3681 Gratiot Ave,Detroit,MI,48207,541105,Grocers-Retail,541105,Grocers-Retail,42.36393954,-83.02465649
Save-A-Lot Food Stores,4703 Conner St,Detroit,MI,48215,541105,Grocers-Retail,541105,Grocers-Retail,42.3872547,-82.97107529
Save-A-Lot Food Stores,5181 Grand River Ave,Detroit,MI,48208,541105,Grocers-Retail,541105,Grocers-Retail,42.35002508,-83.09282924
Saveway Market,8031 Dix St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail,42.3166711,-83.1321821
Saving Barrel Market,8560 Grand River Ave,Detroit,MI,48204,539901,General Merchandise-Retail,539901,General Merchandise-Retail,42.36204988,-83.12217615
Savon Food Store,15025 W 7 Mile Rd,Detroit,MI,48235,541105,Grocers-Retail,541105,Grocers-Retail,42.43046803,-83.19491667
Savon Foods Super Market,18000 Livernois Ave,Detroit,MI,48221,541105,Grocers-Retail,541105,Grocers-Retail,42.4234579,-83.1407259
Savon-Livernois,18000 Livernois Ave,Detroit,MI,48221,531104,Retail Shops,531104,Retail Shops,42.4234579,-83.1407259
Sea World Fish Market,15084 Gratiot Ave,Detroit,MI,48205,542101,Seafood-Retail,542101,Seafood-Retail,42.4447831,-82.97119014
Seaway Market Place,18330 W Chicago St,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.36509954,-83.21945218
Seven Stars Food Ctr,11500 E Mcnichols Rd,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail,42.4196791,-83.0055491
Shkaga Inc,14424 Schaefer Hwy,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.3943469,-83.1777824
Special Way Market,15735 Schoolcraft St,Detroit,MI,48227,592104,Beer & Ale-Retail,592104,Beer & Ale-Retail,42.3867461,-83.2012891
Star Of Woodward,5730 Woodward Ave,Detroit,MI,48202,541105,Grocers-Retail,541105,Grocers-Retail,42.3627222,-83.0675215
State Deli,1200 Washington Blvd,Detroit,MI,48226,541105,Grocers-Retail,541105,Grocers-Retail,42.3326646,-83.0504302
Stop & Shop Supermarket Co,407 E Fort St,Detroit,MI,48226,541105,Grocers-Retail,541105,Grocers-Retail,42.33282506,-83.0425335
Sunshine Market,14812 Livernois Ave,Detroit,MI,48238,592102,Liquors-Retail,592102,Liquors-Retail,42.3983132,-83.1396891
Super Giant Liquor Store,8830 Gratiot Ave,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.38630853,-83.00963122
Super Mercado LA-Piedad,7101 W Vernor Hwy,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail,42.31429861,-83.12004593
Super Value Mart LLC,15441 Plymouth Rd,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.3724825,-83.19690113
Supermercardo LA Jaliscencell,3923 W Vernor Hwy,Detroit,MI,48216,531104,Retail Shops,531104,Retail Shops,42.32215001,-83.09082322
Supreme Food Ctr Inc,16135 Schoolcraft St,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.3866792,-83.2048834
T N Foods Inc,1515 Alfred St,Detroit,MI,48207,514107,Food Bulk (Whls),514107,Food Bulk (Whls),42.34882,-83.0396992
Tayven Food Corp Southfield,23800 Grand River Ave,Detroit,MI,48219,581208,Restaurants,581208,Restaurants,42.42430165,-83.27645819
Temple Trumbull Market,2846 Trumbull St,Detroit,MI,48216,541105,Grocers-Retail,541105,Grocers-Retail,42.3379,-83.0701444
Three B Party Store,18300 W Warren Ave,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.3436084,-83.2186809
Thrifty Scot Supermarket,3431 Joy Rd,Detroit,MI,48206,541105,Grocers-Retail,541105,Grocers-Retail,42.3704573,-83.1161691
Timmy's Market Inc,17700 W 7 Mile Rd,Detroit,MI,48235,541105,Grocers-Retail,541105,Grocers-Retail,42.43016476,-83.21718941
Tobey's Market,5546 Chopin St,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail,42.3367396,-83.1370901
Tower Liquor Shoppe Inc,12700 Grand River Ave,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.38067901,-83.16842932
Town Food,7811 Gratiot Ave,Detroit,MI,48213,541104,Food Products-Retail,541104,Food Products-Retail,42.378197,-83.0155632
Unique Food Market,1681 Lawndale St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail,42.3051834,-83.1301062
United African Market,20139 Joy Rd,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail,42.3572514,-83.2380174
University Food Ctr,1131 W Warren Ave,Detroit,MI,48201,541105,Grocers-Retail,541105,Grocers-Retail,42.35341743,-83.07418985
Us Quality Supermarket,15690 Joy Rd # 2,Detroit,MI,48228,531104,Retail Shops,531104,Retail Shops,42.3591634,-83.1992798
Value Save Food Ctr,14470 Livernois Ave # 1,Detroit,MI,48238,541105,Grocers-Retail,541105,Grocers-Retail,42.3960326,-83.1378941
Vernor Food Ctr,8801 W Vernor Hwy,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail,42.3086323,-83.1334578
Vic's Market,5009 Tireman St,Detroit,MI,48204,541105,Grocers-Retail,541105,Grocers-Retail,42.3527394,-83.119468
Wagner Market,5804 Tarnow St,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail,42.3381093,-83.13945979
Wally's,161 W Congress St,Detroit,MI,48226,541103,Convenience Stores,541103,Convenience Stores,42.32938725,-83.04749242
Warren Bakery,16010 W Warren Ave,Detroit,MI,48228,546102,Bakers-Retail,546102,Bakers-Retail,42.3438334,-83.2015909
Whittier Market Inc,10240 Whittier St,Detroit,MI,48224,599999,Miscellaneous Retail Stores NEC,599999,Miscellaneous Retail Stores NEC,42.4156479,-82.9492871
Whole Foods Market,115 Mack Ave,Detroit,MI,48201,541105,Grocers-Retail,541105,Grocers-Retail,42.3481223,-83.05686074
Wigley's Meats & Produce,3405 Russell St,Detroit,MI,48207,542107,Meat-Retail,542107,Meat-Retail,42.35045444,-83.04340165
Wonder Foods,10450 Shoemaker St,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.38931786,-82.99683866
Wyoming & Six Food Market,17124 Wyoming St,Detroit,MI,48221,541105,Grocers-Retail,541105,Grocers-Retail,42.4174001,-83.1599806
Y & Z Party Store,11200 Hayes St,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.4177427,-82.9645597
Yeman Market,4044 Miller St,Detroit,MI,48211,541105,Grocers-Retail,541105,Grocers-Retail,42.3904062,-83.040205
Yorkshire Food Market,16711 Mack Ave,Detroit,MI,48224,541105,Grocers-Retail,541105,Grocers-Retail,42.3935575,-82.9265189
