Address,Business Name,Live Date,Latitude,Longitude
2010 E Jefferson Ave,Mobil,1/1/16,42.33617,-83.02637
11603 E 7 Mile Rd,Sunoco,1/1/16,42.43477,-83.00419
14820 E Jefferson Ave,Mobil,1/1/16,42.3743,-82.93964
15510 Fenkell St,Mobil,1/1/16,42.40175,-83.19921
10601 E Outer Dr,BP,1/1/16,42.40582,-82.95972
20000 Joy Rd,Mobil,1/1/16,42.35791,-83.23637
15439 Schoolcraft Ave,Citgo,1/1/16,42.38702,-83.19737
8930 W McNichols Rd,Marathon,1/1/16,42.41725,-83.15984
16046 Puritan St,Puritan Liquor,3/3/16,42.40887,-83.20529
14200 E Jefferson Ave,Perry's Liquor,3/3/16,42.37176,-82.94626
21640 Grand River Ave,McDonald's,3/3/16,42.41575,-83.25559
1781 Fort St,Exxon,3/21/16,42.27633,-83.15435
6003 W Vernor Hwy,McDonald's,3/21/16,42.31588,-83.10594
11535 Morang Dr,Sunoco,4/12/16,42.42473,-82.9476
14383 Gratiot Ave,Mike's Fresh Market,4/12/16,42.43665,-82.97889
18403 Grand River Ave,McDonald's,4/18/16,42.40172,-83.22176
9800 Grand River Ave,Mobil,4/18/16,42.36928,-83.13944
19850 Fenkell St,Fuel Zone,4/25/16,42.40104,-83.2371
975 Mack Ave,Exxon,4/25/16,42.35198,-83.04722
14900 E Jefferson Ave,Marathon,4/27/16,42.37467,-82.93885
1000 Mack Ave,McDonald's,4/28/16,42.35135,-83.04649
12706 E Jefferson Ave,Riverside Party Store,5/3/16,42.37019,-82.95646
6416 E Jefferson Ave,Palace Plaza Liquor,5/10/16,42.34411,-83.00887
19195 Livernois Ave,Mike's Fresh Market,5/14/16,42.4325,-83.14148
18426 Plymouth Rd,Starter's Bar & Grill,5/14/16,42.37244,-83.22116
8290 Woodward Ave,Turkey Grill,5/23/16,42.37632,-83.07698
22021 W 8 Mile Rd,McDonald's,5/27/16,42.44283,-83.26
8935 E Jefferson Ave,Hibbard Market,5/27/16,42.27938,-83.12983
6876 Michigan Ave,McDonald's,6/4/16,42.3312,-83.12777
9540 Greenfield Rd,Glass Bottle Shoppe,6/6/16,42.36611,-83.19691
1920 W Fisher Fwy,Mobil,6/21/16,42.33371738,-83.07421652
2600 Bagley Ave,Mexican Village Restaurant,6/28/16,42.32552,-83.07838
15550 W McNichols Rd,McDonald's,7/12/16,42.41602,-83.20005
8825 E Jefferson Ave,McDonald's,7/23/16,42.35658,-82.98755
18551 Grand River Ave,Royal Fresh Market,7/23/16,42.40257,-83.22427
8536 Linwood Ave,One Stop Liquor,7/27/16,42.36865,-83.10518
15440 Schoolcraft Ave,Valero,7/30/16,42.38744,-83.19768
13403 W 7 Mile Rd,Schaefer Seven Drugs,8/1/16,42.43086,-83.17881
21500 Fenkell St,Exxon,8/24/16,42.40068,-83.25357
16951 Telegraph Rd,Valero,8/26/16,42.41414,-83.27789
6500 Gratiot Ave,Citgo,9/7/16,42.36726,-83.02183
18525 W 7 Mile Rd,BP,9/28/16,42.42962,-83.22499
18120 W McNichols Rd,Mobil,10/13/16,42.41585,-83.21973
19331 W 7 Mile Rd,Sunoco,10/18/16,42.42946,-83.23293
19222 Grand River Ave,Rosedale Community Pharmacy,10/26/16,42.40599,-83.23067
14999 Gratiot Ave,Gratiot & Fairmount Market,10/28/16,42.44381,-82.97203
15530 W Warren Ave,Dollar Center,11/1/16,42.34392,-83.19693
15201 E 7 Mile Rd,Sunoco,11/2/16,42.43573,-82.96503
12800 E 7 Mile Rd,East Track,11/3/16,42.43449,-82.99322
11700 Chalmers St,Citgo,11/3/16,42.42037,-82.97405
7633 W Vernor Hwy,Cricket Wireless,11/9/16,42.31279,-83.12378
7631 W Vernor Hwy,Sherry's on Vernor,11/9/16,42.31277,-83.12349
7635 W Vernor Hwy,Paul's Pizza,11/9/16,42.31269,-83.12363
13601 W McNichols Rd,Citgo,11/10/16,42.4162,-83.18029
8045 Linwood St,Prestige Liquor,11/11/16,42.36472,-83.10338
14340 W McNichols Rd,Southern Smokehouse,11/15/16,42.41675,-83.18705
16424 E Warren Ave,Royalty Dance Studio,11/17/16,42.40311,-82.93703
6835 Michigan Ave,Super Dollar Store,11/18/16,42.33046,-83.12747
15321 Wyoming Ave,McDonald's,11/21/16,42.40292,-83.15978
9939 E Jefferson Ave,Riviera Auto Service,11/22/16,42.36112,-82.98228
20400 Grand River Ave,Sunoco,11/29/16,42.41073,-83.24241
20001 Schoolcraft Ave,Sonny's Hamburgers,12/1/16,42.38588,-83.23754
2847 E 7 Mile Rd,Asian Corned Beef,12/1/16,42.43297,-83.07451
2819 E 7 Mile Rd,New Merchant Food Center,12/1/16,42.43317,-83.07516
2867 E 7 Mile Rd,Scotch Castle Liquor Land,12/1/16,42.43298,-83.07394
10520 E Jefferson Ave,Eastown,12/1/16,42.36318,-82.97751
18000 Livernois Ave,Savon Foods,12/2/16,42.42301,-83.14071
15700 Livernois Ave,Uptown BBQ & Soulfood,12/6/16,42.40666,-83.14004
13676 Grand River Ave,McDonald's,12/7/16,42.38487,-83.17887
15401 Joy Rd,Benchmark Party Shoppe,12/7/16,42.35782,-83.19619
1715 Michigan Ave,Marathon,12/8/16,42.33114,-83.06962
9130 Linwood St,Valero,12/8/16,42.37305,-83.10844
10100 E 8 Mile Rd,Bel-Air Luxury Cinema,12/9/16,42.445,83.01552
19840 Van Dyke Rd,McDonald's,12/12/16,42.44087,-83.02394
17256 W 7 Mile Rd,Lindsay Food & Drug,12/14/16,42.43023,-83.21341
17121 Livernois Ave,McDonald's,12/15/16,42.41737,-83.14081
20354 W 7 Mile Rd,Boost Mobile,12/19/16,42.42976,-83.2426
12930 E 7 Mile Rd,Super Clean Coin Laundry,12/20/16,42.43445,-82.99169
11250 E Jefferson Ave,Parkway Foods,12/21/16,42.36641,-82.9717
10450 Shoemaker St,Wonder Foods,12/21/16,42.38935,-82.99684
21740 W McNichols Rd,Sunoco,12/27/16,42.41481,-83.25644
11320 Dexter Ave,Barrel & Bottle Party Shoppe,12/27/16,42.37746,-83.12211
10300 Mack Ave,Mack & Bewick Market,12/28/16,42.37437,-82.98841
15801 W McNichols Rd,Summit Medical Center,12/29/16,42.41565,-83.20231
19900 Conant St,Pelzer's Party Shoppe,1/3/17,42.44083,-83.07899
8139 E 7 Mile Rd,7 Mile Food,1/4/17,42.43407,-83.02168
1001 E Warren Ave,Mobil,1/5/17,42.36167,-83.05359
8059 Grand River Ave,New Quick Stop Market,1/17/17,42.35963,-83.11713
18300 Morang Ave,Citgo,1/19/17,42.42972,-82.95739
12750 Schaefer Hwy,Sunoco,1/19/17,42.38097,-83.17821
11030 Morang Ave,Clark,1/23/17,42.42321,-82.94197
7945 Charlevoix St,Janes Market,1/23/17,42.36266,-83.00364
21756 Grand River Ave,City Liquor Shoppe,1/26/17,42.41677,-83.25742
10200 Rosa Parks Blvd,Clark,1/26/17,42.3825,-83.10319
14421 Plymouth Rd,Club Celebrity,1/31/17,42.37262,-83.18581
18330 W Chicago Blvd,Seaway Market Place,1/31/17,42.36506,-83.21946
14545 Plymouth Rd,Zoom,2/8/17,42.37258,-83.187
1131 W Warren Ave,University Foods,2/9/17,42.35336,-83.07449
20324 W McNichols Rd,Soft Cloth Car Wash,2/13/17,42.41535,-83.24173
19115 Plymouth Rd,Soft Cloth Car Wash,2/14/17,42.37176,-83.2281
20131 Grand River Ave,Soft Cloth Car Wash,2/15/17,42.40883,-83.23928
19664 Woodward Ave,Soft Cloth Car Wash,2/16/17,42.43777,-83.11837
7250 W Lafayette Blvd,Bee Be's Market,2/20/17,42.30513,-83.11539
11191 Grand River Ave,Old Grand Market,2/20/17,42.37455,-83.15409
3435 Second Ave,Grocer Farm Market,2/21/17,42.34376,-83.06282
12501 Linwood St,Linwood Discount Liquor,2/27/17,42.38786,-83.1188
20270 Grand River Ave,Grand River Pharmacy,2/28/17,42.40997,-83.24067
3975 Conner Ln,McDonald's,3/3/17,42.384,82.9687
2889 W Grand Blvd,McDonald's,3/7/17,42.36793,-83.08088
8105 Fenkell St,Detroit Palace,3/10/17,42.40253,-83.14993
18201 Mack Ave,McDonald's,3/20/17,42.40925,-82.9149
8670  Grand River Ave,TULC Club,3/21/17,42.36286,-83.12361
540 E State Fair,Bottle Stop,3/23/17,42.43958,-83.0989
15015 Mack Ave,Maryland Liquor,3/24/17,42.38777,-82.94646
19841 Schoolcraft Ave,Citgo,3/31/17,42.38592,-83.23616
3800 Conner Ln,Citgo,4/4/17,42.38404,-82.96729
3888 W Warren Ave,Big Top Liquor,4/6/17,42.34515,-83.106
21221 W 7 Mile Rd,Holbrook Auto Parts,4/6/17,42.42887,-83.25148
13301 Dexter Ave,Dexter-Waverly Market,4/6/17,42.38907,-83.13099
14651 W 7 Mile Rd,Holbrook Automotive Parts #2,4/6/17,42.43044,-83.19076
500 E Warren Ave,Food Pride Market,4/6/17,42.35869,-83.05797
18054 Mt Elliot St,Randy's Market,4/7/17,42.42726,-83.0384
5611 Tarnow St,Sunoco,4/7/17,42.33652,-83.13871
19550 Plymouth Rd,Mobil,4/11/17,42.37229,-83.23364
6811 Gratiot Ave,Marathon,4/14/17,42.37018,-83.02085
16342 W McNichols Rd,Princess Superrette,4/17/17,42.41583,-83.20843
1841 E State Fair,Citgo,4/17/17,42.4404,-83.08356
18950 Ford Rd,Tijuana's Mexican Kitchen,4/18/17,42.32922,-83.22494
7961 Mack Ave,Shell,4/18/17,42.36688,-83.00652
16200 W Warren Ave,Victory Liquor,4/19/17,42.34391,-83.20416
2453 W Grand Blvd,Gold Coin Laundry,4/19/17,42.36219,-83.09501
7305 Grand River Ave,Citgo,4/20/17,42.44009,-83.31604
9949 E Warren Ave,Sunoco,4/20/17,42.3826,-82.99738
2971 W Warren Ave,BP,4/28/17,42.3463,-83.09545
880 W McNichols Rd,Caesar Food Center,4/28/17,42.41785,-83.11449
7353 Kercheval St,Sunoco,4/28/17,42.35676,-83.00528
20840 W Chicago Blvd,Scotty J's Liquor,5/3/17,42.36462,-83.24525
13730 Livernois Ave,Soap's Car Wash & Details,5/5/17,42.38901,-83.13921
9400 Woodward Ave,Kenwood Market,5/5/17,42.38439,-83.08271
21746 Schoolcraft Ave,BP,5/10/17,42.38627,-83.25559
13921 E Warren Ave,First Class,5/10/17,42.39399,-82.96307
8140 E 7 Mile Rd,East Seven Mile Apartments,5/10/17,42.4338,-83.02158
11511 Wyoming Ave,Shamrock,5/10/17,42.37315,-83.15897
17800 Woodward Ave,CDG Preferred Properties,5/12/17,42.4221,-83.10773
3181 Third St,MLK Food Center,5/12/17,42.34262,-83.06459
4924 Joy Rd,Chapel Hill Church,5/12/17,42.36638,-83.12836
19638 Van Dyke St,Motown Cafe and Grill,5/16/17,42.43942,-83.02405
14900 E 8 Mile Rd,Dunkin Donuts,5/18/17,42.44945,-82.96864
8820 Wyoming Ave,Citgo,5/20/17,42.35962,-83.1575
650 Chene St,Chene Liquor Shop,5/22/17,42.37626,-83.0473
18320 W Chicago St,Cody Liquor,5/24/17,42.36507,-83.21935
12050 Grand River Ave,Marathon,5/26/17,42.37732,-83.15929
10100 Mack Ave,BP,5/30/17,42.37356,-82.99022
1901 E 7 Mile Rd,Sunoco,5/30/17,42.43296,-83.08286
3701 Joy Rd,Grand Liquor,5/31/17,42.37008,-83.11765
2915 John R St,The Carlton Lofts,6/1/17,42.34493,-83.05421
20545 W 7 Mile Rd,Citgo,6/2/17,42.42913,-83.245
20913 Joy Rd,Royal Car Wash,6/5/17,42.35701,-83.24644
20800 W 7 Mile Rd,Valero,6/6/17,42.42973,-83.2478
24341 W 7 Mile Rd,Bellagio Liquor,6/13/17,42.42856,-83.2814
15750 Joy Rd,Fairlane Nursing Centre,6/13/17,42.35895,-83.20049
3810 E McNichols Rd,Diamond Liquor,6/20/17,42.4186,-83.06354
10833 W 7 Mile Rd,Mobil,6/21/17,42.43087,-83.17025
17230 Harper Ave,Exxon,6/22/17,42.41737,-82.93407
17785 Grand River Ave,Valero,6/28/17,42.40013,-83.21704
23540 W 7 Mile Rd,Sunoco,6/28/17,42.42935,-83.27229
17776 Grand River Ave,BP,6/28/17,42.40084,-83.21739
10736 E Jefferson Ave,BP,6/29/17,42.36414,-82.97553
6707 Dix St,Certified Alignment & Suspension,7/6/17,42.31566,-83.11751
15630 Plymouth Rd,Royal Car Wash,7/13/17,42.37286,-83.19915
4607 E 7 Mile Rd,Pick A Snack Party Shoppe,7/13/17,42.43349,-83.05758
11002 Hayes St,Hayes Liquor Basket,7/17/17,42.41594,-82.9645
9100 Chalmers St,76 Gas,7/17/17,42.4057,-82.96462
7310 Mack Ave,Elbow Lounge,7/18/17,42.36484,-83.0112
4475 Second Ave,City Center Coin Laundry,7/20/17,42.35179,-83.067
15405 Gratiot Ave #300,MetroPCS,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #200,Game Stop,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #500,Dollar Center,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #150,Advance America,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #600,City Warehouse,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #250,Vacant,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #100,Little Caesar's Pizza,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #400,Tax Giant,7/24/17,42.44828,-82.97008
18430 Ford Rd,Wendy's,7/26/17,42.32943,-83.2197
5637 Charles St,Super X Liquor,7/26/17,42.41205,-83.0457
114 W Adams Ave,Briggs Houze,7/27/17,42.33632,-83.05307
10542 Whittier St,Whittier Market,7/28/17,42.41698,-82.95227
7100 W 7 Mile Rd,State Farm,7/31/17,42.43177,-83.14397
16226 E Warren Ave,Public Foods,8/2/17,42.40192,-82.9403
23740 W 7 Mile Rd,7-Tel Party Store,8/2/17,42.42934,-83.27446
13001 Hayes St,Hayes Troester,8/4/17,42.42656,-82.96559
17315 Mack Ave,Trolleys Bar,8/8/17,42.39764,-82.92042
18137 Joy Rd,BP,8/11/17,42.35754,-83.21729
15501 Plymouth Rd,McDonald's,8/14/17,42.37223,-83.1981
18137 Joy Rd,McDonald's,8/14/17,42.35754,-83.21729
14854 Grand River Ave,Food Lane Market,8/15/17,42.39012,-83.19142
3801 W Vernor Hwy,Valero,8/16/17,42.32247,-83.08946
24761 W 7 Mile Rd,BP,8/16/17,42.4283,-83.28581
16136 W 7 Mile Rd,Peaceful Hearts Adult Day Treatment,8/17/17,42.43038,-83.20671
15500 Plymouth Rd,Marathon,8/17/17,42.3729,-83.19806
7400 Woodward Ave,New Center Liquor,8/23/17,42.37136,-83.07362
17200 W McNichols Rd,Mega Liquor,8/25/17,42.41593,-83.21227
17336 Lahser Rd,Motor City Java,8/29/17,42.41713,-83.25734
8901 Woodward Ave,Marathon,8/31/17,42.38147,-83.0813
20436 W 7 Mile Rd,International Language Solutions,9/6/17,42.42973,-83.24393
12340 Dexter Ave,Valero,9/8/17,42.38444,-83.12665
5015 Livernois Ave,Sunoco,9/12/17,42.33669,-83.12448
418 W Willis St,Alley Taco,10/11/17,42.35047,-83.06382
22355 W 8 Mile Rd,West Oaks Senior Care,10/30/17,42.44263,-83.26426
15229 W 8 Mile Rd,GDI Services Inc.,10/30/17,42.45025,-82.96551